# Full companion to lifetable_us_male.csv: ages 0-120, all life table columns.
# Ages 0-99 qx/lx/dx/Lx: Arias E, Xu JQ, Kochanek K. United States life tables, 2023. Natl Vital Stat Rep. 2025 Jul 15;74(6):1-63. DOI: 10.15620/cdc/174591
# Ages 100-119 qx: U.S. Social Security Administration, Office of the Chief Actuary. Actuarial Life Table: Period Life Table, 2023, as used in the 2026 Trustees Report. (https://www.ssa.gov/oact/STATS/table4c6.html)
# Age 120 row is the arithmetic closure (qx=1), not a published value.
# Included so a consumer can recompute e0 and validate against published 75.8.
age,qx,lx,dx,Lx,Tx,ex,qx_source
0,0.006023,100000.0000,602.2673,99476.6328,7581808.73,75.8181,NCHS_NVSR_74_6_Table2
1,0.000481,99397.7344,47.8506,99373.8125,7482332.10,75.2767,NCHS_NVSR_74_6_Table2
2,0.000332,99349.8828,33.0157,99333.3750,7382958.29,74.3127,NCHS_NVSR_74_6_Table2
3,0.000237,99316.8672,23.5656,99305.0859,7283624.91,73.3372,NCHS_NVSR_74_6_Table2
4,0.000179,99293.3047,17.8160,99284.3984,7184319.82,72.3545,NCHS_NVSR_74_6_Table2
5,0.000165,99275.4922,16.4082,99267.2891,7085035.43,71.3674,NCHS_NVSR_74_6_Table2
6,0.000151,99259.0859,15.0260,99251.5781,6985768.14,70.3791,NCHS_NVSR_74_6_Table2
7,0.000139,99244.0625,13.7912,99237.1719,6886516.56,69.3897,NCHS_NVSR_74_6_Table2
8,0.000122,99230.2734,12.0779,99224.2344,6787279.39,68.3993,NCHS_NVSR_74_6_Table2
9,0.000101,99218.1953,10.0411,99213.1719,6688055.15,67.4075,NCHS_NVSR_74_6_Table2
10,0.000087,99208.1562,8.6517,99203.8281,6588841.98,66.4143,NCHS_NVSR_74_6_Table2
11,0.000097,99199.5078,9.6031,99194.7031,6489638.15,65.4201,NCHS_NVSR_74_6_Table2
12,0.000150,99189.9062,14.8575,99182.4766,6390443.45,64.4263,NCHS_NVSR_74_6_Table2
